date,symbol,close
2020-04-28,NVDA,291.36
2020-04-29,NVDA,298.46
2020-04-30,NVDA,292.28
2020-05-01,NVDA,282.78
2020-05-04,NVDA,291.29
2020-05-05,NVDA,293.74
2020-05-06,NVDA,297.79
2020-05-07,NVDA,304.87
2020-05-08,NVDA,312.5
2020-05-11,NVDA,322.62
2020-05-12,NVDA,312.1
2020-05-13,NVDA,311.2
2020-05-14,NVDA,321.22
2020-05-15,NVDA,339.63
2020-05-18,NVDA,350.01
2020-05-19,NVDA,352.22
2020-05-20,NVDA,358.8
2020-05-21,NVDA,351.01
2020-05-22,NVDA,361.05
2020-05-26,NVDA,348.71
2020-05-27,NVDA,341.01
2020-05-28,NVDA,339.48
2020-05-29,NVDA,355.02
2020-06-01,NVDA,352.25
2020-06-02,NVDA,353.01
2020-06-03,NVDA,350.78
2020-06-04,NVDA,350.66
2020-06-05,NVDA,356.8
2020-06-08,NVDA,352.2
2020-06-09,NVDA,361.84
2020-06-10,NVDA,374.67
2020-06-11,NVDA,351.85
2020-06-12,NVDA,357.3
2020-06-15,NVDA,366.95
2020-06-16,NVDA,362.74
2020-06-17,NVDA,369.44
2020-06-18,NVDA,368.72
2020-06-19,NVDA,370.45
2020-06-22,NVDA,381.07
2020-06-23,NVDA,378.0
2020-06-24,NVDA,369.42
2020-06-25,NVDA,379.6
2020-06-26,NVDA,366.2
2020-06-29,NVDA,368.0
2020-06-30,NVDA,379.91
2020-07-01,NVDA,381.2
2020-07-02,NVDA,384.49
2020-07-06,NVDA,393.57
2020-07-07,NVDA,394.87
2020-07-08,NVDA,408.64
2020-07-09,NVDA,420.36
2020-07-10,NVDA,419.17
2020-07-13,NVDA,402.09
2020-07-14,NVDA,415.08
2020-07-15,NVDA,409.09
2020-07-16,NVDA,405.39
2020-07-17,NVDA,408.06
2020-07-20,NVDA,420.43
2020-07-21,NVDA,413.14
2020-07-22,NVDA,417.55
2020-07-23,NVDA,405.19
2020-07-24,NVDA,407.78
2020-07-27,NVDA,416.86
2020-07-28,NVDA,408.62
2020-07-29,NVDA,418.62
2020-07-30,NVDA,424.56
2020-07-31,NVDA,424.59
2020-08-03,NVDA,440.41
2020-08-04,NVDA,449.11
2020-08-05,NVDA,451.47
2020-08-06,NVDA,453.42
2020-08-07,NVDA,447.98
2020-08-10,NVDA,446.6
2020-08-11,NVDA,434.0
2020-08-12,NVDA,457.61
2020-08-13,NVDA,457.72
2020-08-14,NVDA,462.56
2020-08-17,NVDA,493.48
2020-08-18,NVDA,490.43
2020-08-19,NVDA,485.54
2020-08-20,NVDA,485.64
2020-08-21,NVDA,507.34
2020-08-24,NVDA,508.81
2020-08-25,NVDA,510.0
2020-08-26,NVDA,510.92
2020-08-27,NVDA,505.13
2020-08-28,NVDA,525.91
2020-08-31,NVDA,534.98
2020-09-01,NVDA,552.84
2020-09-02,NVDA,573.86
2020-09-03,NVDA,520.62
2020-09-04,NVDA,504.9
2020-09-08,NVDA,476.52
2020-09-09,NVDA,508.6
2020-09-10,NVDA,492.47
2020-09-11,NVDA,486.58
2020-09-14,NVDA,514.89
2020-09-15,NVDA,519.64
2020-09-16,NVDA,500.58
2020-09-17,NVDA,498.54
2020-09-18,NVDA,487.57
2020-09-21,NVDA,500.69
2020-09-22,NVDA,505.51
2020-09-23,NVDA,484.95
2020-09-24,NVDA,493.92
